EN         E-LVL      ANG-CM     DATA-CM                          F045200200014 
MEV        MEV        ADEG       MB/SR                            F045200200015 
EN         E-LVL      DATA                                        F045200300014 
MEV        MEV        MB                                          F045200300015 
     0.8988     0.        24.31                                   F045200300016 
     0.9065     0.48      20.67                                   F045200300017 
     0.9939     0.        29.52                                   F045200300018 
     1.003      0.48      25.74                                   F045200300019 
     1.091      0.        31.35                                   F045200300020 
     1.101      0.48      29.16                                   F045200300021 
     1.187      0.        34.88                                   F045200300022 
     1.215      0.48      30.92                                   F045200300023 
     1.284      0.        36.71                                   F045200300024 
     1.297      0.48      33.48                                   F045200300025 
     1.397      0.        39.41                                   F045200300026 
     1.411      0.48      36.08                                   F045200300027 
     1.495      0.        39.56                                   F045200300028 
     1.51       0.48      35.33                                   F045200300029 
     1.606      0.        45.64                                   F045200300030 
     1.606      0.48      42.07                                   F045200300031 
     1.705      0.48      42.15                                   F045200300032 
     1.706      0.        43.25                                   F045200300033 
     1.787      0.        43.38                                   F045200300034 
     1.803      0.48      42.23                                   F045200300035 
     1.886      0.        41.83                                   F045200300036 
     1.903      0.48      39.81                                   F045200300037 
     1.999      0.        44.54                                   F045200300038 
     2.002      0.48      38.23                                   F045200300039 
     2.081      0.        44.66                                   F045200300040 
     2.118      0.48      35.83                                   F045200300041 
     2.148      0.        40.53                                   F045200300042 
     2.168      0.48      32.54                                   F045200300043 
     2.229      0.        42.35                                   F045200300044 
     2.267      0.48      31.79                                   F045200300045 
     2.375      0.        44.25                                   F045200300046 
     2.414      0.48      34.41                                   F045200300047 
     2.481      0.48      31.97                                   F045200300048 
     2.491      0.        41.89                                   F045200300049 
     2.621      0.        42.93                                   F045200300050 
     2.644      0.48      35.43                                   F045200300051 
     2.785      0.        41.49                                   F045200300052 
     2.791      0.48      37.22                                   F045200300053 
     2.935      0.        36.64                                   F045200300054 
     2.94       0.48      34.01                                   F045200300055 
     3.082      0.        36.86                                   F045200300056 
     3.089      0.48      32.47                                   F045200300057 
ENDDATA             44          0                                 F045200300058 
ENDSUBENT           57          0                                 F045200399999 
ENDENTRY             3          0                                 F045299999999 
