EN-MIN     EN-MAX     DATA       MISC1      MISC2                 1438300200017 
EV         EV         NO-DIM     NO-DIM     NO-DIM                1438300200018 
   22.02927   22.08005    0.64402    0.63082    0.65721           1438300200362 
   22.08005   22.13095    0.63196    0.62109    0.64282           1438300200363 
   22.13095   22.18196    0.63142    0.62243    0.64042           1438300200364 
   22.18196   22.23310    0.63276    0.62523    0.64029           1438300200365 
   22.23310   22.28435    0.62673    0.62023    0.63323           1438300200366 
   22.28435   22.33572    0.63544    0.62928    0.64161           1438300200367 
   22.33572   22.38721    0.60261    0.59628    0.60894           1438300200368 
   22.38721   22.43882    0.60359    0.59621    0.61097           1438300200369 
   22.43882   22.49055    0.59455    0.58521    0.60388           1438300200370 
   22.49055   22.54239    0.59115    0.57861    0.60368           1438300200371 
   22.54239   22.59436    0.55067    0.53446    0.56688           1438300200372 
   22.59436   22.64644    0.56407    0.54263    0.58550           1438300200373 
   22.64644   22.69865    0.51861    0.49382    0.54340           1438300200374 
   22.69865   22.75097    0.57963    0.54863    0.61063           1438300200375 
   22.75097   22.80342    0.47158    0.43861    0.50454           1438300200376 
   22.80342   22.85599    0.50386    0.46482    0.54290           1438300200377 
   22.85599   22.90868    0.57346    0.52994    0.61698           1438300200378 
