ENTRY            11299   19810428                             00001129900000001 
SUBENT        11299001   19810428                             00001129900100001 
BIB                  6          7                                 1129900100002 
INSTITUTE  (1USAMIT)                                              1129900100003 
REFERENCE  (J,PR,86,483,52)                                       1129900100004 
AUTHOR     (J.J.HINCHEY,P.H.STELSON,W.M.PRESTON)                  1129900100005 
TITLE      THE TOTAL NEUTRON CROSS SECTION OF NITROGEN.           1129900100006 
STATUS     (SCSRS)                                                1129900100007 
HISTORY    (760714T) TRANSLATED FROM SCISRS                       1129900100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129900100009 
ENDBIB               7          0                                 1129900100010 
NOCOMMON             0          0                                 1129900100011 
ENDSUBENT           10          0                                 1129900199999 
SUBENT        11299002   19810428                             00001129900200001 
BIB                  2          2                                 1129900200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129900200003 
SAMPLE     LIQUID NITROGEN SAMPLE.                                1129900200004 
ENDBIB               2          0                                 1129900200005 
COMMON               1          3                                 1129900200006 
EN-RSL                                                            1129900200007 
MEV                                                               1129900200008 
 0.011                                                            1129900200009 
ENDCOMMON            3          0                                 1129900200010 
DATA                 3        178                                 1129900200011 
EN         DATA       DATA-ERR                                    1129900200012 
MEV        B          PER-CENT                                    1129900200013 
 7.94   -01 5.     -03 1.87   +00                                 1129900300090 
 8.04   -01 5.     -03 1.75   +00                                 1129900300091 
 8.14   -01 5.     -03 1.87   +00                                 1129900300092 
 8.20   -01 5.     -03 1.80   +00                                 1129900300093 
 8.30   -01 5.     -03 1.75   +00                                 1129900300094 
 8.40   -01 5.     -03 1.72   +00                                 1129900300095 
 8.48   -01 5.     -03 1.62   +00                                 1129900300096 
 8.57   -01 5.     -03 1.49   +00                                 1129900300097 
 8.65   -01 5.     -03 1.40   +00                                 1129900300098 
 8.74   -01 5.     -03 1.47   +00                                 1129900300099 
 8.75   -01 5.     -03 1.61   +00                                 1129900300100 
 8.81   -01 5.     -03 1.49   +00                                 1129900300101 
 8.84   -01 5.     -03 1.43   +00                                 1129900300102 
 8.91   -01 5.     -03 1.52   +00                                 1129900300103 
 9.04   -01 5.     -03 1.37   +00                                 1129900300104 
 9.10   -01 5.     -03 1.42   +00                                 1129900300105 
 9.20   -01 5.     -03 1.34   +00                                 1129900300106 
 9.29   -01 5.     -03 1.35   +00                                 1129900300107 
 9.40   -01 5.     -03 1.23   +00                                 1129900300108 
 9.47   -01 5.     -03 1.19   +00                                 1129900300109 
 9.55   -01 5.     -03 1.0    +00                                 1129900300110 
 9.64   -01 5.     -03 9.5    -01                                 1129900300111 
 9.75   -01 5.     -03 1.02   +00                                 1129900300112 
 9.82   -01 5.     -03 1.05   +00                                 1129900300113 
 9.93   -01 5.     -03 1.48   +00                                 1129900300114 
 1.000  +00 5.     -03 2.05   +00                                 1129900300115 
ENDDATA            108          0                                 1129900300116 
ENDSUBENT          115          0                                 1129900399999 
SUBENT        11299004   19810428                             00001129900400001 
BIB                  1          2                                 1129900400002 
REACTION  1(7-N-14(N,TOT),,SIG,,RES)                              1129900400003 
          2(7-N-14(N,TOT),,WID)                                   1129900400004 
ENDBIB               2          0                                 1129900400005 
NOCOMMON             0          0                                 1129900400006 
DATA                 5         11                                 1129900400007 
EN-RES     DATA      1DATA-ERR  1DATA-MAX  1DATA-MAX  2           1129900400008 
MEV        B          B          B          MILLI-EV              1129900400009 
 4.30   -01 4.8    +00                       3.5    +06           1129900400010 
 4.92   -01 2.60   -01 1.00   -01            7.5    +06           1129900400011 
 6.39   -01 2.00   -01                       4.3    +07           1129900400012 
 9.98   -01 2.0    -02                       4.6    +07           1129900400013 
 1.120  +00 2.01   +00                       1.9    +07           1129900400014 
 1.188  +00                       1.1    +00 3.2    +06           1129900400015 
 1.210  +00                       6.20   -01 1.3    +07           1129900400016 
 1.350  +00                       1.79   +00 2.2    +07           1129900400017 
 1.401  +00                       1.03   +00 5.4    +07           1129900400018 
 1.595  +00                       1.56   +00 2.2    +07           1129900400019 
 1.779  +00                       1.02   +00 2.4    +07           1129900400020 
ENDDATA             13          0                                 1129900400021 
ENDSUBENT           20          0                                 1129900499999 
NOSUBENT      11299005   19780405                             00001129900500001 
ENDENTRY             5          0                                 1129999999999 
