EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              D027000200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 D027000200016 
EN         EN-ERR     DATA-CM    DATA-ERR                         D027000400015 
MEV        MEV        MB/SR      MB/SR                            D027000400016 
 20.199    0.15656     352.30     41.199                          D027000400017 
 20.783    0.17522     850.70     59.524                          D027000400018 
 21.196    0.14710     531.88     39.369                          D027000400019 
 21.698    0.13838     411.52     41.175                          D027000400020 
 22.301    0.14735     220.39     28.365                          D027000400021 
 22.887    0.13814     171.23     19.191                          D027000400022 
 23.390    0.13838     191.88     29.280                          D027000400023 
ENDDATA              9          0                                 D027000400024 
ENDSUBENT           23          0                                 D027000499999 
ENDENTRY             4          0                                 D027099999999 
