ANG        E-MIN      E-MAX      DATA                             S000900200017 
ADEG       MEV        MEV        ARB-UNITS                        S000900200018 
17.7       18.1        0.680     0.511                            S000900300062 
18.1       18.5        0.402     0.313                            S000900300063 
18.5       18.9        0.0       0.0                              S000900300064 
18.9       19.3        0.258     0.175                            S000900300065 
19.3       19.7        0.330     0.198                            S000900300066 
19.7       20.1        0.188     0.175                            S000900300067 
20.1       20.5        0.0       0.0                              S000900300068 
20.5       20.9        0.0       0.0                              S000900300069 
20.9       21.3        0.0       0.0                              S000900300070 
21.3       21.7        0.0       0.0                              S000900300071 
21.7       22.1        0.138     0.125                            S000900300072 
22.1       22.5        0.144     0.137                            S000900300073 
22.5       22.9        0.297     0.209                            S000900300074 
22.9       23.3        0.0       0.0                              S000900300075 
23.3       23.7        0.0       0.0                              S000900300076 
23.7       24.1        0.0       0.0                              S000900300077 
24.1       24.5        0.0       0.0                              S000900300078 
24.5       24.9        0.0       0.0                              S000900300079 
24.9       25.3        0.0       0.0                              S000900300080 
25.3       25.7        0.574     0.375                            S000900300081 
ENDDATA             66          0                                 S000900300082 
ENDSUBENT           81          0                                 S000900399999 
SUBENT        S0009004   20080311                             Y006S000900400001 
BIB                  4          5                                 S000900400002 
REACTION   (3-LI-7(D,N)4-BE-8,PAR,DA,,AV/REL)                     S000900400003 
ANALYSIS   Data obtained from integration of differential         S000900400004 
           data of subentry .002 At given energy range.           S000900400005 
STATUS     (DEP,S0009002)                                         S000900400006 
ERR-ANALYS No information given.                                  S000900400007 
ENDBIB               5          0                                 S000900400008 
COMMON               1          3                                 S000900400009 
EN                                                                S000900400010 
MEV                                                               S000900400011 
13.2                                                              S000900400012 
ENDCOMMON            3          0                                 S000900400013 
DATA                 4         15                                 S000900400014 
COS        E-MIN      E-MAX      DATA                             S000900400015 
NO-DIM     MEV        MEV        ARB-UNITS                        S000900400016 
0.806       0.1        0.4        0.844                           S000900400017 
0.806       0.4        7.0       59.45                            S000900400018 
0.806       7.0       25.7       23.28                            S000900400019 
0.5         0.1        0.4        0.683                           S000900400020 
0.5         0.4        7.0       42.78                            S000900400021 
0.5         7.0       25.7        8.22                            S000900400022 
0.0         0.1        0.4        0.472                           S000900400023 
0.0         0.4        7.0       22.47                            S000900400024 
0.0         7.0       25.7        5.09                            S000900400025 
-0.342      0.1        0.4        0.355                           S000900400026 
-0.342      0.4        7.0       16.93                            S000900400027 
-0.342      7.0       25.7        2.34                            S000900400028 
-0.6428     0.1        0.4        0.336                           S000900400029 
-0.6428     0.4        7.0       11.22                            S000900400030 
-0.6428     7.0       25.7        1.49                            S000900400031 
ENDDATA             17          0                                 S000900400032 
ENDSUBENT           31          0                                 S000900499999 
SUBENT        S0009005   20080311                             Y006S000900500001 
BIB                  3         10                                 S000900500002 
REACTION   (3-LI-7(D,N+A)2-HE-4,,SIG)                             S000900500003 
COMMENT    Deuteron beam was scattered by thin gold foil          S000900500004 
           emulsion carrying Li-7 of 0.615E20 atoms per cubic     S000900500005 
           centimeter.                                            S000900500006 
           Flux of deuteron beam was obtained by measuring trace  S000900500007 
           number of incident deuterons in emulsion.              S000900500008 
ERR-ANALYS (EN-ERR) error given in en-err was discrepancy of      S000900500009 
           incident energy of deuterons.                          S000900500010 
           (+DATA-ERR) no information given                       S000900500011 
           (-DATA-ERR) no information given                       S000900500012 
ENDBIB              10          0                                 S000900500013 
NOCOMMON             0          0                                 S000900500014 
DATA                 5          2                                 S000900500015 
EN         EN-ERR     DATA       +DATA-ERR  -DATA-ERR             S000900500016 
MEV        MEV        MB         MB         MB                    S000900500017 
12.0       0.5        613.0      247.0      222.0                 S000900500018 
13.0       0.5        785.0      368.0      330.0                 S000900500019 
ENDDATA              4          0                                 S000900500020 
ENDSUBENT           19          0                                 S000900599999 
SUBENT        S0009006   20080311                             Y006S000900600001 
BIB                  6         10                                 S000900600002 
REACTION   ((3-LI-7(D,N)4-BE-8,PAR,SIG)/                          S000900600003 
           (3-LI-7(D,N+A)2-HE-4,,SIG))                            S000900600004 
           ratio of the cross section populating the ground state S000900600005 
           over the cross section populating two alpha channels.  S000900600006 
PART-DET   (A)                                                    S000900600007 
STATUS     (COREL,S0009005)                                       S000900600008 
ANALYSIS   Data obtained from theoretical analysis of experimentalS000900600009 
           data of subentry .005.                                 S000900600010 
EN-SEC     (E-EXC,4-BE-8)                                         S000900600011 
ERR-ANALYS (DATA-ERR) no information given                        S000900600012 
ENDBIB              10          0                                 S000900600013 
COMMON               1          3                                 S000900600014 
E-EXC                                                             S000900600015 
MEV                                                               S000900600016 
0.0                                                               S000900600017 
ENDCOMMON            3          0                                 S000900600018 
DATA                 4          1                                 S000900600019 
EN-MIN     EN-MAX     DATA       DATA-ERR                         S000900600020 
MEV        MEV        NO-DIM     NO-DIM                           S000900600021 
9.0        13.5       0.04       0.028                            S000900600022 
ENDDATA              3          0                                 S000900600023 
ENDSUBENT           22          0                                 S000900699999 
SUBENT        S0009007   20080311                             Y006S000900700001 
BIB                  6         11                                 S000900700002 
REACTION   ((3-LI-7(D,N)4-BE-8,PAR,SIG)/                          S000900700003 
           (3-LI-7(D,N+A)2-HE-4,,SIG))                            S000900700004 
           ratio of the cross section populating the first        S000900700005 
           excitation state over the cross section populating     S000900700006 
           two alpha channels.                                    S000900700007 
PART-DET   (A)                                                    S000900700008 
STATUS     (COREL,S0009005)                                       S000900700009 
ERR-ANALYS (DATA-ERR) no information given                        S000900700010 
ANALYSIS   Data obtained from theoretical analysis of experimentalS000900700011 
           data of subentry .005.                                 S000900700012 
EN-SEC     (E-EXC,4-BE-8)                                         S000900700013 
ENDBIB              11          0                                 S000900700014 
COMMON               1          3                                 S000900700015 
E-EXC                                                             S000900700016 
MEV                                                               S000900700017 
2.94                                                              S000900700018 
ENDCOMMON            3          0                                 S000900700019 
DATA                 4          1                                 S000900700020 
EN-MIN     EN-MAX     DATA       DATA-ERR                         S000900700021 
MEV        MEV        NO-DIM     NO-DIM                           S000900700022 
9.0        13.5       0.17       0.058                            S000900700023 
ENDDATA              3          0                                 S000900700024 
ENDSUBENT           23          0                                 S000900799999 
SUBENT        S0009008   20080311                             Y006S000900800001 
BIB                  6         11                                 S000900800002 
REACTION   ((3-LI-7(D,N)4-BE-8,PAR,SIG)/                          S000900800003 
           (3-LI-7(D,N+A)2-HE-4,,SIG))                            S000900800004 
           ratio of the cross section populating the second       S000900800005 
           excitation state over the cross section populating     S000900800006 
           two alpha channels.                                    S000900800007 
PART-DET   (A)                                                    S000900800008 
STATUS     (COREL,S0009005)                                       S000900800009 
ERR-ANALYS (DATA-ERR) no information given                        S000900800010 
ANALYSIS   Data obtained from theoretical analysis of experimentalS000900800011 
           data of subentry .005.                                 S000900800012 
EN-SEC     (E-EXC,4-BE-8)                                         S000900800013 
ENDBIB              11          0                                 S000900800014 
COMMON               1          3                                 S000900800015 
