 4.          735.34      0.18    -0.10        0.06                41105  3  127 
 4.          749.05      0.10    -0.17        0.08                41105  3  128 
 4.          776.7       0.2     -0.01        0.10                41105  3  129 
 4.          856.55      0.13    -0.06        0.07                41105  3  130 
 4.          969.97      0.02    -0.043       0.008               41105  3  131 
 4.          997.86      0.02    -0.022       0.08                41105  3  132 
 4.         1060.42      0.02    -0.02        0.03                41105  3  133 
 4.         1072.88      0.02     0.017       0.011               41105  3  134 
 4.         1089.99      0.02    -0.086       0.006               41105  3  135 
 4.         1131.70      0.02    -0.062       0.007               41105  3  136 
 4.         1163.82      0.09     0.02        0.06                41105  3  137 
 4.         1183.39      0.06    -0.06        0.07                41105  3  138 
 4.         1244.71      0.06     0.02        0.06                41105  3  139 
 4.         1261.30      0.16     0.03        0.08                41105  3  140 
 4.         1280.37      0.15    -0.02        0.07                41105  3  141 
 4.         1294.54      0.02    -0.012       0.006               41105  3  142 
 4.         1329.9       0.4      0.00        0.12                41105  3  143 
 4.         1352.06      0.13     0.00        0.04                41105  3  144 
 4.         1379.58      0.09     0.19        0.07                41105  3  145 
 4.         1421.7       0.3     -0.25        0.23                41105  3  146 
 4.         1450.1       0.3     -0.12        0.12                41105  3  147 
 4.         1453.5       0.3     -0.09        0.08                41105  3  148 
 4.         1470.71      0.02     0.000       0.007               41105  3  149 
 4.         1525.0       0.3     -0.08        0.14                41105  3  150 
 4.         1556.77      0.05     0.00        0.03                41105  3  151 
 4.         1571.43      0.02     0.006       0.017               41105  3  152 
 4.         1704.91      0.08     0.23        0.07                41105  3  153 
 4.         1743.62      0.04    -0.038       0.015               41105  3  154 
 4.         1746.95      0.05     0.01        0.04                41105  3  155 
 4.         1826.38      0.07    -0.05        0.04                41105  3  156 
 4.         1856.33      0.03    -0.01        0.03                41105  3  157 
 4.         2011.96      0.08    -0.05        0.03                41105  3  158 
 4.         2082.9       0.2      0.                              41105  3  159 
 4.         2096.22      0.16    -0.04        0.10                41105  3  160 
 4.         2129.82      0.14    -0.04        0.05                41105  3  161 
 4.         2135.37      0.08     0.02        0.03                41105  3  162 
 4.         2198.65      0.09     0.00        0.04                41105  3  163 
 4.         2201.90      0.14    -0.01        0.13                41105  3  164 
 4.         2215.0       0.2      0.14        0.10                41105  3  165 
 4.         2231.97      0.08     0.01        0.05                41105  3  166 
 4.         2366.6       0.2      0.07        0.06                41105  3  167 
 4.         2377.2       0.2      0.21        0.11                41105  3  168 
 4.         2426.36      0.03    -0.093       0.013               41105  3  169 
 4.         2452.3       0.3     -0.03        0.11                41105  3  170 
 4.         2472.2       0.2      0.16        0.07                41105  3  171 
 4.         2592.6       0.3     -0.10        0.06                41105  3  172 
 4.         2630.3       0.4     -0.11        0.11                41105  3  173 
 4.         2670.6       0.2      0.03        0.07                41105  3  174 
 4.         2698.9       0.4     -0.10        0.06                41105  3  175 
 4.         2703.31      0.08    -0.05        0.05                41105  3  176 
 4.         2831.9       0.3      0.                              41105  3  177 
 4.         2875.8       0.4     -0.06        0.09                41105  3  178 
 4.         2942.4       0.4     -0.03        0.13                41105  3  179 
 4.         2962.4       0.3     -0.06        0.07                41105  3  180 
 4.         3076.3       0.3     -0.05        0.10                41105  3  181 
 4.         3214.39      0.13    -0.06        0.03                41105  3  182 
 4.         3227.8       0.2     -0.07        0.06                41105  3  183 
 4.         3264.59      0.13    -0.12        0.05                41105  3  184 
 4.         3333.7       0.4     -0.07        0.09                41105  3  185 
 4.         3410.4       0.2      0.                              41105  3  186 
 4.         3490.13      0.14     0.01        0.06                41105  3  187 
 4.         3583.6       0.4     -0.07        0.07                41105  3  188 
 4.         3697.3       0.4     -0.05        0.08                41105  3  189 
 4.         3710.4       0.4     -0.10        0.07                41105  3  190 
 4.         3762.0       0.4     -0.08        0.11                41105  3  191 
 4.         3963.0       0.6      0.03        0.12                41105  3  192 
 4.         4075.3       0.8     -0.06        0.11                41105  3  193 
ENDDATA            180          0                                 41105  3  194 
ENDSUBENT          193          0                                 41105  399999 
SUBENT        41105004   20210415                             419541105  4    1 
BIB                  4         13                                 41105  4    2 
