ENTRY            C1017   20040412                             0000C101700000001 
SUBENT        C1017001   20040412                             0000C101700100001 
BIB                 10         11                                 C101700100002 
INSTITUTE  (1USAROC)                                              C101700100003 
REFERENCE  (J,PR,115,389,195907)                                  C101700100004 
AUTHOR     (C.A.Preskitt,W.P.Alford)                              C101700100005 
TITLE      Elastic Scattering of Protons by Vanadium, Chromium,   C101700100006 
            Iron, and Cobalt                                      C101700100007 
FACILITY   (CYCLO,1USAROC)                                        C101700100008 
DETECTOR   (CSICR)                                                C101700100009 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA)                         C101700100010 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C101700100011 
STATUS     Data taken from tables in reference.                   C101700100012 
  4.41      65.        1.015                                      C101700400030 
  4.41      70.        1.000                                      C101700400031 
  4.41      75.        0.935                                      C101700400032 
  4.41      85.        0.895                                      C101700400033 
  4.41      90.        0.845                                      C101700400034 
  4.41      95.        0.850                                      C101700400035 
  4.41     100.        0.850                                      C101700400036 
  4.41     105.        0.870                                      C101700400037 
  4.41     110.        0.860                                      C101700400038 
  4.41     115.        0.915                                      C101700400039 
  4.41     125.        0.990                                      C101700400040 
  4.41     130.        1.060                                      C101700400041 
  4.41     140.        1.135                                      C101700400042 
  4.41     150.        1.255                                      C101700400043 
  4.41     155.        1.360                                      C101700400044 
  4.41     160.        1.400                                      C101700400045 
  4.74      25.        0.990                                      C101700400046 
  4.74      30.        0.980                                      C101700400047 
  4.74      35.        1.000                                      C101700400048 
  4.74      40.        1.015                                      C101700400049 
  4.74      45.        0.995                                      C101700400050 
  4.74      50.        1.015                                      C101700400051 
  4.74      55.        0.980                                      C101700400052 
  4.74      65.        0.930                                      C101700400053 
  4.74      75.        0.805                                      C101700400054 
  4.74      85.        0.740                                      C101700400055 
  4.74      90.        0.710                                      C101700400056 
  4.74      95.        0.720                                      C101700400057 
  4.74     105.        0.760                                      C101700400058 
  4.74     110.        0.790                                      C101700400059 
  4.74     115.        0.855                                      C101700400060 
  4.74     125.        1.005                                      C101700400061 
  4.74     130.        1.100                                      C101700400062 
  4.74     135.        1.230                                      C101700400063 
  4.74     145.        1.440                                      C101700400064 
  4.74     150.        1.545                                      C101700400065 
  4.74     155.        1.635                                      C101700400066 
  4.74     160.        1.740                                      C101700400067 
  5.17      25.        0.990                                      C101700400068 
  5.17      30.        1.015                                      C101700400069 
  5.17      35.        1.000                                      C101700400070 
  5.17      40.        0.980                                      C101700400071 
  5.17      45.        1.040                                      C101700400072 
  5.17      50.        1.040                                      C101700400073 
  5.17      55.        1.040                                      C101700400074 
  5.17      60.        0.995                                      C101700400075 
  5.17      65.        0.940                                      C101700400076 
  5.17      70.        0.840                                      C101700400077 
  5.17      75.        0.785                                      C101700400078 
  5.17      80.        0.730                                      C101700400079 
  5.17      85.        0.720                                      C101700400080 
  5.17      90.        0.690                                      C101700400081 
  5.17      95.        0.715                                      C101700400082 
  5.17     100.        0.710                                      C101700400083 
  5.17     110.        0.835                                      C101700400084 
  5.17     115.        0.960                                      C101700400085 
  5.17     120.        1.050                                      C101700400086 
  5.17     130.        1.250                                      C101700400087 
  5.17     135.        1.345                                      C101700400088 
  5.17     140.        1.495                                      C101700400089 
  5.17     145.        1.600                                      C101700400090 
  5.17     150.        1.660                                      C101700400091 
  5.17     155.        1.740                                      C101700400092 
  5.17     160.        1.870                                      C101700400093 
  5.55      20.        1.000                                      C101700400094 
