EN         ANG-ERR-D  ERR-DIG                                     A1536  6   11 
MEV        ADEG       NO-DIM                                      A1536  6   12 
        2.5      0.687     0.0061                                 A1536  6   13 
ENDCOMMON            3          0                                 A1536  6   14 
DATA                 2         11                                 A1536  6   15 
ANG-CM     DATA                                                   A1536  6   16 
ADEG       NO-DIM                                                 A1536  6   17 
     21.289    -0.1891                                            A1536  6   18 
     29.071    -0.2938                                            A1536  6   19 
     38.049    -0.4232                                            A1536  6   20 
     45.826    -0.5587                                            A1536  6   21 
     52.413    -0.6388                                            A1536  6   22 
     60.807    -0.6635                                            A1536  6   23 
     69.217    -0.5960                                            A1536  6   24 
     77.638    -0.4546                                            A1536  6   25 
     81.260    -0.3131                                            A1536  6   26 
     84.273    -0.2271                                            A1536  6   27 
     88.496    -0.0733                                            A1536  6   28 
ENDDATA             13          0                                 A1536  6   29 
ENDSUBENT           28          0                                 A1536  699999 
SUBENT        A1536007   20160707                             A085A1536  7    1 
BIB                  5          6                                 A1536  7    2 
REACTION   (3-LI-6(D,A)2-HE-4,,POL/DA,,VAP)                       A1536  7    3 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    A1536  7    4 
           (ERR-DIG)    Data digitizing error                     A1536  7    5 
SAMPLE     The target thickness was 300 to 3000 mu-g/cm2.         A1536  7    6 
STATUS     (CURVE) Fig.3                                          A1536  7    7 
HISTORY    (20160707C)                                            A1536  7    8 
ENDBIB               6          0                                 A1536  7    9 
COMMON               3          3                                 A1536  7   10 
EN         ANG-ERR-D  ERR-DIG                                     A1536  7   11 
MEV        ADEG       NO-DIM                                      A1536  7   12 
        3.0      0.673     0.0056                                 A1536  7   13 
ENDCOMMON            3          0                                 A1536  7   14 
DATA                 2         12                                 A1536  7   15 
ANG-CM     DATA                                                   A1536  7   16 
ADEG       NO-DIM                                                 A1536  7   17 
     20.814    -0.1922                                            A1536  7   18 
     28.795    -0.3127                                            A1536  7   19 
     38.589    -0.4270                                            A1536  7   20 
     45.943    -0.5234                                            A1536  7   21 
     53.853    -0.5590                                            A1536  7   22 
     61.757    -0.5887                                            A1536  7   23 
     69.563    -0.5032                                            A1536  7   24 
     74.941    -0.4118                                            A1536  7   25 
     77.904    -0.3328                                            A1536  7   26 
     82.080    -0.2537                                            A1536  7   27 
     83.816    -0.1566                                            A1536  7   28 
     88.551    -0.0229                                            A1536  7   29 
ENDDATA             14          0                                 A1536  7   30 
ENDSUBENT           29          0                                 A1536  799999 
SUBENT        A1536008   20160707                             A085A1536  8    1 
BIB                  5          6                                 A1536  8    2 
REACTION   (3-LI-6(D,A)2-HE-4,,POL/DA,,VAP)                       A1536  8    3 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    A1536  8    4 
           (ERR-DIG)    Data digitizing error                     A1536  8    5 
SAMPLE     The target thickness was 300 to 3000 mu-g/cm2.         A1536  8    6 
STATUS     (CURVE) Fig.3                                          A1536  8    7 
HISTORY    (20160707C)                                            A1536  8    8 
ENDBIB               6          0                                 A1536  8    9 
COMMON               3          3                                 A1536  8   10 
EN         ANG-ERR-D  ERR-DIG                                     A1536  8   11 
MEV        ADEG       NO-DIM                                      A1536  8   12 
        3.5      0.600     0.0069                                 A1536  8   13 
ENDCOMMON            3          0                                 A1536  8   14 
DATA                 2         12                                 A1536  8   15 
ANG-CM     DATA                                                   A1536  8   16 
ADEG       NO-DIM                                                 A1536  8   17 
     20.816    -0.1481                                            A1536  8   18 
     29.906    -0.2569                                            A1536  8   19 
     38.996    -0.3354                                            A1536  8   20 
     48.086    -0.3898                                            A1536  8   21 
     52.934    -0.4200                                            A1536  8   22 
     62.025    -0.3898                                            A1536  8   23 
     69.297    -0.3656                                            A1536  8   24 
     73.540    -0.2992                                            A1536  8   25 
     77.783    -0.2267                                            A1536  8   26 
     80.813    -0.2025                                            A1536  8   27 
     85.057    -0.0817                                            A1536  8   28 
     89.299    -0.0636                                            A1536  8   29 
ENDDATA             14          0                                 A1536  8   30 
ENDSUBENT           29          0                                 A1536  899999 
SUBENT        A1536009   20160707                             A085A1536  9    1 
BIB                  5          6                                 A1536  9    2 
REACTION   (3-LI-6(D,A)2-HE-4,,POL/DA,,VAP)                       A1536  9    3 
